data,ativo,valor
2020-02-12,ETH-USD,36.5025634765625
2020-02-12,USDT-USD,0.011857986450195312
2020-02-13,BTC-USD,341.4658203125
2020-02-13,ETH-USD,14.81854248046875
2020-02-13,USDT-USD,0.023923933506011963
2020-02-14,BTC-USD,196.4619140625
2020-02-14,ETH-USD,22.293914794921875
2020-02-14,USDT-USD,0.008462011814117432
2020-02-15,BTC-USD,467.1279296875
2020-02-15,ETH-USD,22.844024658203125
2020-02-15,USDT-USD,0.018489062786102295
2020-02-16,BTC-USD,331.58203125
2020-02-16,ETH-USD,30.398040771484375
2020-02-16,USDT-USD,0.019031941890716553
2020-02-17,BTC-USD,431.177734375
2020-02-17,ETH-USD,22.535919189453125
2020-02-17,USDT-USD,0.01534205675125122
2020-02-18,BTC-USD,529.552734375
2020-02-18,ETH-USD,21.73223876953125
2020-02-18,USDT-USD,0.019665956497192383
2020-02-19,BTC-USD,580.4521484375
2020-02-19,ETH-USD,23.773956298828125
2020-02-19,USDT-USD,0.03464299440383911
2020-02-20,BTC-USD,135.31640625
2020-02-20,ETH-USD,12.744140625
2020-02-20,USDT-USD,0.017320990562438965
2020-02-21,BTC-USD,133.271484375
2020-02-21,ETH-USD,11.315765380859375
2020-02-21,USDT-USD,0.013215065002441406
2020-02-22,BTC-USD,97.5029296875
2020-02-22,ETH-USD,7.47406005859375
2020-02-22,USDT-USD,0.010195016860961914
2020-02-23,BTC-USD,279.61328125
2020-02-23,ETH-USD,11.79364013671875
2020-02-23,USDT-USD,0.011659979820251465
2020-02-24,BTC-USD,414.703125
2020-02-24,ETH-USD,15.91436767578125
2020-02-24,USDT-USD,0.016533970832824707
2020-02-25,BTC-USD,347.7158203125
2020-02-25,ETH-USD,18.572494506835938
2020-02-25,USDT-USD,0.018654048442840576
2020-02-26,BTC-USD,650.3515625
2020-02-26,ETH-USD,28.383148193359375
2020-02-26,USDT-USD,0.018909037113189697
2020-02-27,BTC-USD,355.693359375
2020-02-27,ETH-USD,24.564407348632812
2020-02-27,USDT-USD,0.014790952205657959
2020-02-28,BTC-USD,397.5234375
2020-02-28,ETH-USD,17.86273193359375
2020-02-28,USDT-USD,0.01919996738433838
2020-02-29,BTC-USD,176.123046875
2020-02-29,ETH-USD,12.408111572265625
2020-02-29,USDT-USD,0.01427304744720459
2020-03-01,BTC-USD,255.583984375
2020-03-01,ETH-USD,12.547454833984375
2020-03-01,USDT-USD,0.012097060680389404
2020-03-02,BTC-USD,388.677734375
